Initialize dataset with 1148437 characters, 86 unique.
[2019-11-27 00:27] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 1767.84, Accuracy = 0.00, Loss = 4.465
[2019-11-27 00:55] Train Step 91900/1000000, Batch Size = 64, Examples/Sec = 5688.64, Accuracy = 0.66, Loss = 1.119
[2019-11-27 00:55] Train Step 92000/1000000, Batch Size = 64, Examples/Sec = 7482.73, Accuracy = 0.63, Loss = 1.167
[2019-11-27 00:55] Train Step 92100/1000000, Batch Size = 64, Examples/Sec = 5958.61, Accuracy = 0.67, Loss = 1.099
[2019-11-27 00:55] Train Step 92200/1000000, Batch Size = 64, Examples/Sec = 5137.91, Accuracy = 0.65, Loss = 1.134
[2019-11-27 00:55] Train Step 92300/1000000, Batch Size = 64, Examples/Sec = 5095.68, Accuracy = 0.65, Loss = 1.110
[2019-11-27 00:55] Train Step 92400/1000000, Batch Size = 64, Examples/Sec = 5625.10, Accuracy = 0.65, Loss = 1.147
[2019-11-27 00:55] Train Step 92500/1000000, Batch Size = 64, Examples/Sec = 5043.41, Accuracy = 0.64, Loss = 1.168
[2019-11-27 00:55] Train Step 92600/1000000, Batch Size = 64, Examples/Sec = 5369.68, Accuracy = 0.64, Loss = 1.134
[2019-11-27 00:55] Train Step 92700/1000000, Batch Size = 64, Examples/Sec = 5212.04, Accuracy = 0.62, Loss = 1.198
[2019-11-27 00:55] Train Step 92800/1000000, Batch Size = 64, Examples/Sec = 5677.21, Accuracy = 0.63, Loss = 1.170
[2019-11-27 00:55] Train Step 92900/1000000, Batch Size = 64, Examples/Sec = 6694.65, Accuracy = 0.65, Loss = 1.154
[2019-11-27 00:55] Train Step 93000/1000000, Batch Size = 64, Examples/Sec = 4951.50, Accuracy = 0.63, Loss = 1.180
[2019-11-27 00:55] Train Step 93100/1000000, Batch Size = 64, Examples/Sec = 5131.82, Accuracy = 0.63, Loss = 1.195
[2019-11-27 00:55] Train Step 93200/1000000, Batch Size = 64, Examples/Sec = 4981.08, Accuracy = 0.65, Loss = 1.149
[2019-11-27 00:55] Train Step 93300/1000000, Batch Size = 64, Examples/Sec = 4642.28, Accuracy = 0.65, Loss = 1.120
[2019-11-27 00:55] Train Step 93400/1000000, Batch Size = 64, Examples/Sec = 5314.61, Accuracy = 0.66, Loss = 1.112
[2019-11-27 00:55] Train Step 93500/1000000, Batch Size = 64, Examples/Sec = 4957.35, Accuracy = 0.65, Loss = 1.149
[2019-11-27 00:55] Train Step 93600/1000000, Batch Size = 64, Examples/Sec = 5631.24, Accuracy = 0.64, Loss = 1.157
[2019-11-27 00:55] Train Step 93700/1000000, Batch Size = 64, Examples/Sec = 4494.07, Accuracy = 0.63, Loss = 1.161
[2019-11-27 00:55] Train Step 93800/1000000, Batch Size = 64, Examples/Sec = 6841.91, Accuracy = 0.64, Loss = 1.132
[2019-11-27 00:55] Train Step 93900/1000000, Batch Size = 64, Examples/Sec = 6767.74, Accuracy = 0.64, Loss = 1.146
[2019-11-27 00:55] Train Step 94000/1000000, Batch Size = 64, Examples/Sec = 7253.84, Accuracy = 0.64, Loss = 1.153
[2019-11-27 00:56] Train Step 94100/1000000, Batch Size = 64, Examples/Sec = 7464.00, Accuracy = 0.64, Loss = 1.145
[2019-11-27 00:56] Train Step 94200/1000000, Batch Size = 64, Examples/Sec = 4784.69, Accuracy = 0.65, Loss = 1.141
[2019-11-27 00:56] Train Step 94300/1000000, Batch Size = 64, Examples/Sec = 6986.87, Accuracy = 0.65, Loss = 1.119
[2019-11-27 00:56] Train Step 94400/1000000, Batch Size = 64, Examples/Sec = 6526.51, Accuracy = 0.65, Loss = 1.128
[2019-11-27 00:56] Train Step 94500/1000000, Batch Size = 64, Examples/Sec = 7191.84, Accuracy = 0.65, Loss = 1.175
[2019-11-27 00:56] Train Step 94600/1000000, Batch Size = 64, Examples/Sec = 7471.90, Accuracy = 0.65, Loss = 1.127
[2019-11-27 00:56] Train Step 94700/1000000, Batch Size = 64, Examples/Sec = 7388.00, Accuracy = 0.64, Loss = 1.140
[2019-11-27 00:56] Train Step 94800/1000000, Batch Size = 64, Examples/Sec = 5914.24, Accuracy = 0.65, Loss = 1.128
[2019-11-27 00:56] Train Step 94900/1000000, Batch Size = 64, Examples/Sec = 4996.47, Accuracy = 0.65, Loss = 1.125
[2019-11-27 00:56] Train Step 95000/1000000, Batch Size = 64, Examples/Sec = 5216.09, Accuracy = 0.65, Loss = 1.124
[2019-11-27 00:56] Train Step 95100/1000000, Batch Size = 64, Examples/Sec = 4900.60, Accuracy = 0.64, Loss = 1.174
[2019-11-27 00:56] Train Step 95200/1000000, Batch Size = 64, Examples/Sec = 7545.83, Accuracy = 0.65, Loss = 1.169
[2019-11-27 00:56] Train Step 95300/1000000, Batch Size = 64, Examples/Sec = 4855.66, Accuracy = 0.65, Loss = 1.128
[2019-11-27 00:56] Train Step 95400/1000000, Batch Size = 64, Examples/Sec = 6679.16, Accuracy = 0.65, Loss = 1.144
[2019-11-27 00:56] Train Step 95500/1000000, Batch Size = 64, Examples/Sec = 4640.68, Accuracy = 0.65, Loss = 1.141
[2019-11-27 00:56] Train Step 95600/1000000, Batch Size = 64, Examples/Sec = 7380.28, Accuracy = 0.64, Loss = 1.170
[2019-11-27 00:56] Train Step 95700/1000000, Batch Size = 64, Examples/Sec = 4762.28, Accuracy = 0.64, Loss = 1.165
[2019-11-27 00:56] Train Step 95800/1000000, Batch Size = 64, Examples/Sec = 7506.16, Accuracy = 0.64, Loss = 1.168
[2019-11-27 00:56] Train Step 95900/1000000, Batch Size = 64, Examples/Sec = 4469.53, Accuracy = 0.65, Loss = 1.107
[2019-11-27 00:56] Train Step 96000/1000000, Batch Size = 64, Examples/Sec = 7505.53, Accuracy = 0.64, Loss = 1.184
[2019-11-27 00:56] Train Step 96100/1000000, Batch Size = 64, Examples/Sec = 4071.09, Accuracy = 0.64, Loss = 1.166
[2019-11-27 00:56] Train Step 96200/1000000, Batch Size = 64, Examples/Sec = 6969.63, Accuracy = 0.65, Loss = 1.155
[2019-11-27 00:56] Train Step 96300/1000000, Batch Size = 64, Examples/Sec = 5364.10, Accuracy = 0.63, Loss = 1.171
[2019-11-27 00:56] Train Step 96400/1000000, Batch Size = 64, Examples/Sec = 6817.93, Accuracy = 0.65, Loss = 1.152
[2019-11-27 00:56] Train Step 96500/1000000, Batch Size = 64, Examples/Sec = 7061.68, Accuracy = 0.64, Loss = 1.202
[2019-11-27 00:56] Train Step 96600/1000000, Batch Size = 64, Examples/Sec = 7047.58, Accuracy = 0.65, Loss = 1.151
[2019-11-27 00:56] Train Step 96700/1000000, Batch Size = 64, Examples/Sec = 7119.36, Accuracy = 0.64, Loss = 1.208
[2019-11-27 00:56] Train Step 96800/1000000, Batch Size = 64, Examples/Sec = 7325.30, Accuracy = 0.65, Loss = 1.139
[2019-11-27 00:56] Train Step 96900/1000000, Batch Size = 64, Examples/Sec = 7311.93, Accuracy = 0.66, Loss = 1.122
[2019-11-27 00:56] Train Step 97000/1000000, Batch Size = 64, Examples/Sec = 7341.12, Accuracy = 0.64, Loss = 1.173
[2019-11-27 00:56] Train Step 97100/1000000, Batch Size = 64, Examples/Sec = 4935.02, Accuracy = 0.63, Loss = 1.200
[2019-11-27 00:56] Train Step 97200/1000000, Batch Size = 64, Examples/Sec = 6256.22, Accuracy = 0.65, Loss = 1.166
[2019-11-27 00:56] Train Step 97300/1000000, Batch Size = 64, Examples/Sec = 7278.62, Accuracy = 0.65, Loss = 1.110
[2019-11-27 00:56] Train Step 97400/1000000, Batch Size = 64, Examples/Sec = 4863.31, Accuracy = 0.64, Loss = 1.149
[2019-11-27 00:56] Train Step 97500/1000000, Batch Size = 64, Examples/Sec = 5245.85, Accuracy = 0.65, Loss = 1.127
[2019-11-27 00:57] Train Step 97600/1000000, Batch Size = 64, Examples/Sec = 5488.58, Accuracy = 0.67, Loss = 1.093
[2019-11-27 00:57] Train Step 97700/1000000, Batch Size = 64, Examples/Sec = 5552.27, Accuracy = 0.65, Loss = 1.175
[2019-11-27 00:57] Train Step 97800/1000000, Batch Size = 64, Examples/Sec = 4476.91, Accuracy = 0.63, Loss = 1.186
[2019-11-27 00:57] Train Step 97900/1000000, Batch Size = 64, Examples/Sec = 6694.65, Accuracy = 0.64, Loss = 1.142
[2019-11-27 00:57] Train Step 98000/1000000, Batch Size = 64, Examples/Sec = 4565.07, Accuracy = 0.65, Loss = 1.168
[2019-11-27 00:57] Train Step 98100/1000000, Batch Size = 64, Examples/Sec = 5658.54, Accuracy = 0.62, Loss = 1.180
[2019-11-27 00:57] Train Step 98200/1000000, Batch Size = 64, Examples/Sec = 4606.59, Accuracy = 0.65, Loss = 1.163
[2019-11-27 00:57] Train Step 98300/1000000, Batch Size = 64, Examples/Sec = 2713.61, Accuracy = 0.65, Loss = 1.154
[2019-11-27 00:57] Train Step 98400/1000000, Batch Size = 64, Examples/Sec = 7316.31, Accuracy = 0.65, Loss = 1.162
[2019-11-27 00:57] Train Step 98500/1000000, Batch Size = 64, Examples/Sec = 7074.52, Accuracy = 0.65, Loss = 1.096
[2019-11-27 00:57] Train Step 98600/1000000, Batch Size = 64, Examples/Sec = 7082.17, Accuracy = 0.65, Loss = 1.140
[2019-11-27 00:57] Train Step 98700/1000000, Batch Size = 64, Examples/Sec = 7119.55, Accuracy = 0.65, Loss = 1.132
[2019-11-27 00:57] Train Step 98800/1000000, Batch Size = 64, Examples/Sec = 7333.70, Accuracy = 0.62, Loss = 1.222
[2019-11-27 00:57] Train Step 98900/1000000, Batch Size = 64, Examples/Sec = 4707.82, Accuracy = 0.64, Loss = 1.181
[2019-11-27 00:57] Train Step 99000/1000000, Batch Size = 64, Examples/Sec = 7283.16, Accuracy = 0.64, Loss = 1.179
[2019-11-27 00:57] Train Step 99100/1000000, Batch Size = 64, Examples/Sec = 5870.14, Accuracy = 0.65, Loss = 1.147
[2019-11-27 00:57] Train Step 99200/1000000, Batch Size = 64, Examples/Sec = 7313.72, Accuracy = 0.66, Loss = 1.105
[2019-11-27 00:57] Train Step 99300/1000000, Batch Size = 64, Examples/Sec = 7385.96, Accuracy = 0.64, Loss = 1.136
[2019-11-27 00:57] Train Step 99400/1000000, Batch Size = 64, Examples/Sec = 6220.26, Accuracy = 0.65, Loss = 1.156
[2019-11-27 00:57] Train Step 99500/1000000, Batch Size = 64, Examples/Sec = 7300.39, Accuracy = 0.63, Loss = 1.208
[2019-11-27 00:57] Train Step 99600/1000000, Batch Size = 64, Examples/Sec = 6778.16, Accuracy = 0.65, Loss = 1.141
[2019-11-27 00:57] Train Step 99700/1000000, Batch Size = 64, Examples/Sec = 4626.20, Accuracy = 0.66, Loss = 1.142
[2019-11-27 00:57] Train Step 99800/1000000, Batch Size = 64, Examples/Sec = 7074.89, Accuracy = 0.66, Loss = 1.138
[2019-11-27 00:57] Train Step 99900/1000000, Batch Size = 64, Examples/Sec = 7127.68, Accuracy = 0.66, Loss = 1.154
[2019-11-27 00:57] Train Step 100000/1000000, Batch Size = 64, Examples/Sec = 7232.34, Accuracy = 0.64, Loss = 1.121
[2019-11-27 00:57] Train Step 100100/1000000, Batch Size = 64, Examples/Sec = 7201.29, Accuracy = 0.63, Loss = 1.178
[2019-11-27 00:57] Train Step 100200/1000000, Batch Size = 64, Examples/Sec = 7232.34, Accuracy = 0.64, Loss = 1.132
[2019-11-27 00:57] Train Step 100300/1000000, Batch Size = 64, Examples/Sec = 7081.05, Accuracy = 0.63, Loss = 1.177
[2019-11-27 00:57] Train Step 100400/1000000, Batch Size = 64, Examples/Sec = 7349.36, Accuracy = 0.63, Loss = 1.189
[2019-11-27 00:57] Train Step 100500/1000000, Batch Size = 64, Examples/Sec = 6166.54, Accuracy = 0.65, Loss = 1.136
[2019-11-27 00:57] Train Step 100600/1000000, Batch Size = 64, Examples/Sec = 7315.51, Accuracy = 0.65, Loss = 1.138
[2019-11-27 00:57] Train Step 100700/1000000, Batch Size = 64, Examples/Sec = 4876.83, Accuracy = 0.66, Loss = 1.114
[2019-11-27 00:57] Train Step 100800/1000000, Batch Size = 64, Examples/Sec = 5530.99, Accuracy = 0.67, Loss = 1.110
[2019-11-27 00:57] Train Step 100900/1000000, Batch Size = 64, Examples/Sec = 5391.68, Accuracy = 0.64, Loss = 1.159
[2019-11-27 00:57] Train Step 101000/1000000, Batch Size = 64, Examples/Sec = 5072.19, Accuracy = 0.65, Loss = 1.151
[2019-11-27 00:57] Train Step 101100/1000000, Batch Size = 64, Examples/Sec = 5126.04, Accuracy = 0.65, Loss = 1.139
[2019-11-27 00:58] Train Step 101200/1000000, Batch Size = 64, Examples/Sec = 5055.09, Accuracy = 0.66, Loss = 1.127
[2019-11-27 00:58] Train Step 101300/1000000, Batch Size = 64, Examples/Sec = 5218.72, Accuracy = 0.65, Loss = 1.134
[2019-11-27 00:58] Train Step 101400/1000000, Batch Size = 64, Examples/Sec = 5171.27, Accuracy = 0.65, Loss = 1.124
[2019-11-27 00:58] Train Step 101500/1000000, Batch Size = 64, Examples/Sec = 4927.50, Accuracy = 0.66, Loss = 1.124
[2019-11-27 00:58] Train Step 101600/1000000, Batch Size = 64, Examples/Sec = 4884.11, Accuracy = 0.66, Loss = 1.101
[2019-11-27 00:58] Train Step 101700/1000000, Batch Size = 64, Examples/Sec = 5026.22, Accuracy = 0.63, Loss = 1.231
[2019-11-27 00:58] Train Step 101800/1000000, Batch Size = 64, Examples/Sec = 5095.49, Accuracy = 0.66, Loss = 1.084
[2019-11-27 00:58] Train Step 101900/1000000, Batch Size = 64, Examples/Sec = 5618.27, Accuracy = 0.66, Loss = 1.104
[2019-11-27 00:58] Train Step 102000/1000000, Batch Size = 64, Examples/Sec = 6070.73, Accuracy = 0.63, Loss = 1.154
[2019-11-27 00:58] Train Step 102100/1000000, Batch Size = 64, Examples/Sec = 4804.13, Accuracy = 0.65, Loss = 1.116
[2019-11-27 00:58] Train Step 102200/1000000, Batch Size = 64, Examples/Sec = 4892.21, Accuracy = 0.66, Loss = 1.115
[2019-11-27 00:58] Train Step 102300/1000000, Batch Size = 64, Examples/Sec = 4954.51, Accuracy = 0.66, Loss = 1.134
[2019-11-27 00:58] Train Step 102400/1000000, Batch Size = 64, Examples/Sec = 7255.01, Accuracy = 0.64, Loss = 1.184
[2019-11-27 00:58] Train Step 102500/1000000, Batch Size = 64, Examples/Sec = 4750.15, Accuracy = 0.62, Loss = 1.193
[2019-11-27 00:58] Train Step 102600/1000000, Batch Size = 64, Examples/Sec = 5562.85, Accuracy = 0.64, Loss = 1.173
[2019-11-27 00:58] Train Step 102700/1000000, Batch Size = 64, Examples/Sec = 7224.16, Accuracy = 0.64, Loss = 1.149
[2019-11-27 00:58] Train Step 102800/1000000, Batch Size = 64, Examples/Sec = 5702.54, Accuracy = 0.67, Loss = 1.114
[2019-11-27 00:58] Train Step 102900/1000000, Batch Size = 64, Examples/Sec = 5209.51, Accuracy = 0.62, Loss = 1.180
[2019-11-27 00:58] Train Step 103000/1000000, Batch Size = 64, Examples/Sec = 4939.11, Accuracy = 0.64, Loss = 1.155
[2019-11-27 00:58] Train Step 103100/1000000, Batch Size = 64, Examples/Sec = 5739.97, Accuracy = 0.64, Loss = 1.110
[2019-11-27 00:58] Train Step 103200/1000000, Batch Size = 64, Examples/Sec = 5652.34, Accuracy = 0.65, Loss = 1.093
[2019-11-27 00:58] Train Step 103300/1000000, Batch Size = 64, Examples/Sec = 4240.49, Accuracy = 0.65, Loss = 1.155
[2019-11-27 00:58] Train Step 103400/1000000, Batch Size = 64, Examples/Sec = 7227.66, Accuracy = 0.67, Loss = 1.055
[2019-11-27 00:58] Train Step 103500/1000000, Batch Size = 64, Examples/Sec = 6760.41, Accuracy = 0.64, Loss = 1.130
[2019-11-27 00:58] Train Step 103600/1000000, Batch Size = 64, Examples/Sec = 4565.31, Accuracy = 0.65, Loss = 1.153
[2019-11-27 00:58] Train Step 103700/1000000, Batch Size = 64, Examples/Sec = 7299.60, Accuracy = 0.67, Loss = 1.076
[2019-11-27 00:58] Train Step 103800/1000000, Batch Size = 64, Examples/Sec = 4732.64, Accuracy = 0.66, Loss = 1.119
[2019-11-27 00:58] Train Step 103900/1000000, Batch Size = 64, Examples/Sec = 4363.95, Accuracy = 0.66, Loss = 1.128
[2019-11-27 00:58] Train Step 104000/1000000, Batch Size = 64, Examples/Sec = 4665.93, Accuracy = 0.63, Loss = 1.187
[2019-11-27 00:58] Train Step 104100/1000000, Batch Size = 64, Examples/Sec = 7214.65, Accuracy = 0.65, Loss = 1.134
[2019-11-27 00:58] Train Step 104200/1000000, Batch Size = 64, Examples/Sec = 5159.74, Accuracy = 0.65, Loss = 1.109
[2019-11-27 00:58] Train Step 104300/1000000, Batch Size = 64, Examples/Sec = 7275.66, Accuracy = 0.65, Loss = 1.137
[2019-11-27 00:59] Train Step 104400/1000000, Batch Size = 64, Examples/Sec = 4879.40, Accuracy = 0.65, Loss = 1.112
[2019-11-27 00:59] Train Step 104500/1000000, Batch Size = 64, Examples/Sec = 7309.14, Accuracy = 0.67, Loss = 1.079
[2019-11-27 00:59] Train Step 104600/1000000, Batch Size = 64, Examples/Sec = 7315.91, Accuracy = 0.64, Loss = 1.176
[2019-11-27 00:59] Train Step 104700/1000000, Batch Size = 64, Examples/Sec = 4351.08, Accuracy = 0.64, Loss = 1.114
[2019-11-27 00:59] Train Step 104800/1000000, Batch Size = 64, Examples/Sec = 5652.58, Accuracy = 0.65, Loss = 1.145
[2019-11-27 00:59] Train Step 104900/1000000, Batch Size = 64, Examples/Sec = 4565.93, Accuracy = 0.65, Loss = 1.111
[2019-11-27 00:59] Train Step 105000/1000000, Batch Size = 64, Examples/Sec = 5250.57, Accuracy = 0.63, Loss = 1.209
[2019-11-27 00:59] Train Step 105100/1000000, Batch Size = 64, Examples/Sec = 5367.85, Accuracy = 0.65, Loss = 1.146
[2019-11-27 00:59] Train Step 105200/1000000, Batch Size = 64, Examples/Sec = 4892.92, Accuracy = 0.65, Loss = 1.127
[2019-11-27 00:59] Train Step 105300/1000000, Batch Size = 64, Examples/Sec = 4558.64, Accuracy = 0.64, Loss = 1.155
[2019-11-27 00:59] Train Step 105400/1000000, Batch Size = 64, Examples/Sec = 4672.18, Accuracy = 0.67, Loss = 1.091
[2019-11-27 00:59] Train Step 105500/1000000, Batch Size = 64, Examples/Sec = 7151.22, Accuracy = 0.64, Loss = 1.161
[2019-11-27 00:59] Train Step 105600/1000000, Batch Size = 64, Examples/Sec = 7230.97, Accuracy = 0.65, Loss = 1.147
[2019-11-27 00:59] Train Step 105700/1000000, Batch Size = 64, Examples/Sec = 7065.21, Accuracy = 0.65, Loss = 1.122
[2019-11-27 00:59] Train Step 105800/1000000, Batch Size = 64, Examples/Sec = 7163.44, Accuracy = 0.64, Loss = 1.122
[2019-11-27 00:59] Train Step 105900/1000000, Batch Size = 64, Examples/Sec = 6034.70, Accuracy = 0.64, Loss = 1.187
[2019-11-27 00:59] Train Step 106000/1000000, Batch Size = 64, Examples/Sec = 7332.10, Accuracy = 0.64, Loss = 1.168
[2019-11-27 00:59] Train Step 106100/1000000, Batch Size = 64, Examples/Sec = 7305.76, Accuracy = 0.63, Loss = 1.191
[2019-11-27 00:59] Train Step 106200/1000000, Batch Size = 64, Examples/Sec = 6859.57, Accuracy = 0.65, Loss = 1.125
[2019-11-27 00:59] Train Step 106300/1000000, Batch Size = 64, Examples/Sec = 7269.35, Accuracy = 0.64, Loss = 1.152
[2019-11-27 00:59] Train Step 106400/1000000, Batch Size = 64, Examples/Sec = 7195.50, Accuracy = 0.64, Loss = 1.145
[2019-11-27 00:59] Train Step 106500/1000000, Batch Size = 64, Examples/Sec = 5755.72, Accuracy = 0.64, Loss = 1.172
[2019-11-27 00:59] Train Step 106600/1000000, Batch Size = 64, Examples/Sec = 7261.69, Accuracy = 0.67, Loss = 1.097
[2019-11-27 00:59] Train Step 106700/1000000, Batch Size = 64, Examples/Sec = 7216.98, Accuracy = 0.65, Loss = 1.134
[2019-11-27 00:59] Train Step 106800/1000000, Batch Size = 64, Examples/Sec = 7364.48, Accuracy = 0.66, Loss = 1.127
[2019-11-27 00:59] Train Step 106900/1000000, Batch Size = 64, Examples/Sec = 5242.27, Accuracy = 0.64, Loss = 1.142
[2019-11-27 00:59] Train Step 107000/1000000, Batch Size = 64, Examples/Sec = 7284.74, Accuracy = 0.65, Loss = 1.125
[2019-11-27 00:59] Train Step 107100/1000000, Batch Size = 64, Examples/Sec = 7242.48, Accuracy = 0.64, Loss = 1.135
[2019-11-27 00:59] Train Step 107200/1000000, Batch Size = 64, Examples/Sec = 6940.44, Accuracy = 0.67, Loss = 1.103
[2019-11-27 00:59] Train Step 107300/1000000, Batch Size = 64, Examples/Sec = 7132.03, Accuracy = 0.63, Loss = 1.150
[2019-11-27 00:59] Train Step 107400/1000000, Batch Size = 64, Examples/Sec = 6181.59, Accuracy = 0.65, Loss = 1.110
[2019-11-27 00:59] Train Step 107500/1000000, Batch Size = 64, Examples/Sec = 6199.00, Accuracy = 0.63, Loss = 1.144
[2019-11-27 00:59] Train Step 107600/1000000, Batch Size = 64, Examples/Sec = 7230.78, Accuracy = 0.63, Loss = 1.173
[2019-11-27 00:59] Train Step 107700/1000000, Batch Size = 64, Examples/Sec = 7146.27, Accuracy = 0.66, Loss = 1.128
[2019-11-27 00:59] Train Step 107800/1000000, Batch Size = 64, Examples/Sec = 6890.91, Accuracy = 0.63, Loss = 1.182
[2019-11-27 00:59] Train Step 107900/1000000, Batch Size = 64, Examples/Sec = 6583.01, Accuracy = 0.66, Loss = 1.097
[2019-11-27 00:59] Train Step 108000/1000000, Batch Size = 64, Examples/Sec = 7279.80, Accuracy = 0.64, Loss = 1.144
[2019-11-27 01:00] Train Step 108100/1000000, Batch Size = 64, Examples/Sec = 4843.05, Accuracy = 0.65, Loss = 1.151
[2019-11-27 01:00] Train Step 108200/1000000, Batch Size = 64, Examples/Sec = 7310.13, Accuracy = 0.65, Loss = 1.146
[2019-11-27 01:00] Train Step 108300/1000000, Batch Size = 64, Examples/Sec = 7198.40, Accuracy = 0.64, Loss = 1.119
[2019-11-27 01:00] Train Step 108400/1000000, Batch Size = 64, Examples/Sec = 6553.44, Accuracy = 0.64, Loss = 1.121
[2019-11-27 01:00] Train Step 108500/1000000, Batch Size = 64, Examples/Sec = 7324.70, Accuracy = 0.66, Loss = 1.141
[2019-11-27 01:00] Train Step 108600/1000000, Batch Size = 64, Examples/Sec = 7028.95, Accuracy = 0.64, Loss = 1.143
[2019-11-27 01:00] Train Step 108700/1000000, Batch Size = 64, Examples/Sec = 6739.70, Accuracy = 0.66, Loss = 1.100
[2019-11-27 01:00] Train Step 108800/1000000, Batch Size = 64, Examples/Sec = 7355.81, Accuracy = 0.65, Loss = 1.101
[2019-11-27 01:00] Train Step 108900/1000000, Batch Size = 64, Examples/Sec = 7315.51, Accuracy = 0.65, Loss = 1.139
[2019-11-27 01:00] Train Step 109000/1000000, Batch Size = 64, Examples/Sec = 5882.23, Accuracy = 0.63, Loss = 1.164
[2019-11-27 01:00] Train Step 109100/1000000, Batch Size = 64, Examples/Sec = 5567.12, Accuracy = 0.64, Loss = 1.147
[2019-11-27 01:00] Train Step 109200/1000000, Batch Size = 64, Examples/Sec = 7248.55, Accuracy = 0.64, Loss = 1.177
[2019-11-27 01:00] Train Step 109300/1000000, Batch Size = 64, Examples/Sec = 6886.14, Accuracy = 0.66, Loss = 1.128
[2019-11-27 01:00] Train Step 109400/1000000, Batch Size = 64, Examples/Sec = 7209.22, Accuracy = 0.63, Loss = 1.177
[2019-11-27 01:00] Train Step 109500/1000000, Batch Size = 64, Examples/Sec = 7301.58, Accuracy = 0.64, Loss = 1.183
[2019-11-27 01:00] Train Step 109600/1000000, Batch Size = 64, Examples/Sec = 7299.60, Accuracy = 0.66, Loss = 1.112
[2019-11-27 01:00] Train Step 109700/1000000, Batch Size = 64, Examples/Sec = 5933.72, Accuracy = 0.63, Loss = 1.177
[2019-11-27 01:00] Train Step 109800/1000000, Batch Size = 64, Examples/Sec = 5823.53, Accuracy = 0.64, Loss = 1.153
[2019-11-27 01:00] Train Step 109900/1000000, Batch Size = 64, Examples/Sec = 6142.13, Accuracy = 0.61, Loss = 1.192
[2019-11-27 01:00] Train Step 110000/1000000, Batch Size = 64, Examples/Sec = 6927.90, Accuracy = 0.65, Loss = 1.136
[2019-11-27 01:00] Train Step 110100/1000000, Batch Size = 64, Examples/Sec = 7363.07, Accuracy = 0.63, Loss = 1.226
[2019-11-27 01:00] Train Step 110200/1000000, Batch Size = 64, Examples/Sec = 7301.39, Accuracy = 0.63, Loss = 1.189
[2019-11-27 01:00] Train Step 110300/1000000, Batch Size = 64, Examples/Sec = 7148.37, Accuracy = 0.64, Loss = 1.200
[2019-11-27 01:00] Train Step 110400/1000000, Batch Size = 64, Examples/Sec = 4781.96, Accuracy = 0.67, Loss = 1.093
[2019-11-27 01:00] Train Step 110500/1000000, Batch Size = 64, Examples/Sec = 7264.63, Accuracy = 0.64, Loss = 1.150
[2019-11-27 01:00] Train Step 110600/1000000, Batch Size = 64, Examples/Sec = 7260.31, Accuracy = 0.65, Loss = 1.147
[2019-11-27 01:00] Train Step 110700/1000000, Batch Size = 64, Examples/Sec = 5837.58, Accuracy = 0.66, Loss = 1.136
[2019-11-27 01:00] Train Step 110800/1000000, Batch Size = 64, Examples/Sec = 7288.90, Accuracy = 0.65, Loss = 1.126
[2019-11-27 01:00] Train Step 110900/1000000, Batch Size = 64, Examples/Sec = 7278.22, Accuracy = 0.67, Loss = 1.076
[2019-11-27 01:00] Train Step 111000/1000000, Batch Size = 64, Examples/Sec = 7026.19, Accuracy = 0.64, Loss = 1.142
[2019-11-27 01:00] Train Step 111100/1000000, Batch Size = 64, Examples/Sec = 7166.50, Accuracy = 0.65, Loss = 1.171
[2019-11-27 01:00] Train Step 111200/1000000, Batch Size = 64, Examples/Sec = 7226.69, Accuracy = 0.64, Loss = 1.185
[2019-11-27 01:00] Train Step 111300/1000000, Batch Size = 64, Examples/Sec = 7227.28, Accuracy = 0.67, Loss = 1.110
[2019-11-27 01:00] Train Step 111400/1000000, Batch Size = 64, Examples/Sec = 4937.02, Accuracy = 0.66, Loss = 1.096
[2019-11-27 01:00] Train Step 111500/1000000, Batch Size = 64, Examples/Sec = 7330.50, Accuracy = 0.66, Loss = 1.144
[2019-11-27 01:00] Train Step 111600/1000000, Batch Size = 64, Examples/Sec = 7301.19, Accuracy = 0.65, Loss = 1.145
[2019-11-27 01:01] Train Step 111700/1000000, Batch Size = 64, Examples/Sec = 4300.68, Accuracy = 0.64, Loss = 1.158
[2019-11-27 01:01] Train Step 111800/1000000, Batch Size = 64, Examples/Sec = 4596.58, Accuracy = 0.62, Loss = 1.212
[2019-11-27 01:01] Train Step 111900/1000000, Batch Size = 64, Examples/Sec = 6564.98, Accuracy = 0.66, Loss = 1.117
[2019-11-27 01:01] Train Step 112000/1000000, Batch Size = 64, Examples/Sec = 7257.56, Accuracy = 0.65, Loss = 1.156
[2019-11-27 01:01] Train Step 112100/1000000, Batch Size = 64, Examples/Sec = 7291.27, Accuracy = 0.65, Loss = 1.114
[2019-11-27 01:01] Train Step 112200/1000000, Batch Size = 64, Examples/Sec = 7246.20, Accuracy = 0.64, Loss = 1.150
[2019-11-27 01:01] Train Step 112300/1000000, Batch Size = 64, Examples/Sec = 4958.26, Accuracy = 0.65, Loss = 1.144
[2019-11-27 01:01] Train Step 112400/1000000, Batch Size = 64, Examples/Sec = 4791.78, Accuracy = 0.65, Loss = 1.097
[2019-11-27 01:01] Train Step 112500/1000000, Batch Size = 64, Examples/Sec = 7333.50, Accuracy = 0.65, Loss = 1.151
